table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
kpi,"Daily national aggregate counts about incentive reviews, one row per day, written by a scheduled task. Counts only - no prisoner is identifiable from this table, and it is not a source of truth for anything: the underlying reviews are in prisoner_iep_level.",previous_month_prisoners_reviewed,4,integer,,NO,,Number of distinct prisoners reviewed in the calendar month before this day. Always less than or equal to previous_month_reviews_conducted.,NONE,N,
kpi,"Daily national aggregate counts about incentive reviews, one row per day, written by a scheduled task. Counts only - no prisoner is identifiable from this table, and it is not a source of truth for anything: the underlying reviews are in prisoner_iep_level.",when_created,5,timestamp with time zone,,NO,now(),When the row was written.,NONE,N,
kpi,"Daily national aggregate counts about incentive reviews, one row per day, written by a scheduled task. Counts only - no prisoner is identifiable from this table, and it is not a source of truth for anything: the underlying reviews are in prisoner_iep_level.",when_updated,6,timestamp with time zone,,NO,now(),When the row was last recalculated.,NONE,N,
next_review_date,"When each prisoner's next incentive review is due. Derived rather than entered: recalculated from the review history, the prisoner's age and their current level whenever a review is recorded or a relevant prisoner event arrives, so it is frequently rewritten and is a cache rather than a source of truth. One row per booking, not per review.",booking_id,1,numeric,,NO,,"NOMIS booking id - the prisoner's custodial period, not the person. Primary key here, so there is one row per booking. Joins to prisoner_iep_level.booking_id.",PERSONAL,Y,
next_review_date,"When each prisoner's next incentive review is due. Derived rather than entered: recalculated from the review history, the prisoner's age and their current level whenever a review is recorded or a relevant prisoner event arrives, so it is frequently rewritten and is a cache rather than a source of truth. One row per booking, not per review.",next_review_date,2,date,,NO,,"Date the prisoner's next incentive review is due. Computed from the last review, the prisoner's current level and whether they are a young person, so its value discloses something about their incentive history rather than being a plain scheduling field.",PERSONAL,N,
next_review_date,"When each prisoner's next incentive review is due. Derived rather than entered: recalculated from the review history, the prisoner's age and their current level whenever a review is recorded or a relevant prisoner event arrives, so it is frequently rewritten and is a cache rather than a source of truth. One row per booking, not per review.",when_created,3,timestamp with time zone,,NO,now(),When the row was first written.,NONE,N,
next_review_date,"When each prisoner's next incentive review is due. Derived rather than entered: recalculated from the review history, the prisoner's age and their current level whenever a review is recorded or a relevant prisoner event arrives, so it is frequently rewritten and is a cache rather than a source of truth. One row per booking, not per review.",when_updated,4,timestamp with time zone,,NO,now(),"When the date was last recalculated. Changes often - every review and every relevant prisoner event triggers a recalculation, whether or not the date itself moves.",NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",id,1,integer,,NO,nextval('prison_incentive_level_id_seq'::regclass),"Primary key. Surrogate sequence value; the meaningful key is the unique pair (level_code, prison_id).",NONE,Y,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",level_code,2,character varying,6,NO,,The incentive level being configured. Foreign key to incentive_level.code.,NONE,N,incentive_level
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",prison_id,3,character varying,6,NO,,"Agency (prison) code the configuration applies to. Identifies an establishment, not a prisoner.",NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",active,4,boolean,,NO,true,Whether this prison offers this level. A level active nationally can be inactive at a given prison.,NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",default_on_admission,5,boolean,,NO,false,"Whether new arrivals at this prison start on this level. Deliberately not constrained to one row per prison, so a misconfiguration is possible and the service picks a winner rather than the database rejecting it.",NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",when_created,6,timestamp with time zone,,NO,now(),When the configuration row was added.,NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",when_updated,7,timestamp with time zone,,NO,now(),"When the configuration was last changed. Rows loaded in the initial migration carry the original NOMIS timestamp, which is why some are many years old.",NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",remand_transfer_limit_in_pence,8,integer,,NO,,"Most a remand prisoner on this level at this prison may transfer into their spends account per week, in pence.",NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",remand_spend_limit_in_pence,9,integer,,NO,,"Most a remand prisoner on this level at this prison may hold in their spends account, in pence.",NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",convicted_transfer_limit_in_pence,10,integer,,NO,,"Most a convicted prisoner on this level at this prison may transfer into their spends account per week, in pence.",NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",convicted_spend_limit_in_pence,11,integer,,NO,,"Most a convicted prisoner on this level at this prison may hold in their spends account, in pence.",NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",visit_orders,12,smallint,,NO,,Number of standard visit orders per period for a prisoner on this level at this prison.,NONE,N,
prison_incentive_level,"How one prison configures one incentive level: whether it is offered, whether new arrivals start on it, and the spending and visit entitlements that come with it. One row per prison and level. Configuration about establishments, not about people - there is no personal data in this table.",privileged_visit_orders,13,smallint,,NO,,"Number of privileged visit orders per period for a prisoner on this level at this prison, on top of the standard allowance.",NONE,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",id,1,integer,,NO,nextval('prisoner_iep_level_id_seq'::regclass),Primary key. Surrogate sequence value; carries no meaning and is not the NOMIS identifier.,NONE,Y,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",booking_id,2,numeric,,NO,,"NOMIS booking id - the prisoner's custodial period, not the person. A prisoner released and recalled has a new booking id, so this identifies one spell in custody for one prisoner. Used rather than prisoner_number as the join key for next_review_date.",PERSONAL,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",prisoner_number,4,character varying,10,NO,,NOMIS offender number (noms id) of the prisoner reviewed. The link that makes every row here personal data about that prisoner. Updated in place when NOMIS merges two offender records.,PERSONAL,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",prison_id,5,character varying,6,NO,,Agency (prison) code where the review took place. Read with prisoner_number it indicates where that prisoner was held at the time.,PERSONAL,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",location_id,6,character varying,240,YES,,"Internal location the prisoner was held at when reviewed - a cell or wing description rather than an id, despite the name, which is why it was widened to 240 characters. Nullable, and not populated by current write paths: the field is legacy and no longer mapped onto the Kotlin entity, so treat it as historical. Where set it locates the prisoner within the establishment.",PERSONAL,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",review_time,7,timestamp with time zone,,NO,,"When the review was conducted. For rows migrated from NOMIS this is the original review date, not the migration. This is the column that orders a prisoner's history.",NONE,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",iep_code,8,character varying,6,NO,,"The incentive level the prisoner was placed on by this review. Foreign key to incentive_level.code - BAS, STD, ENH, EN2, EN3 or the retired ENT. Column keeps the legacy NOMIS name; the Kotlin property is levelCode.",NONE,N,incentive_level
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",comment_text,9,text,,YES,,"The reviewer's free-text note on the review. Unstructured and unbounded - in practice describes behaviour, adjudications, health and third parties, so treat as special category regardless of what any individual comment happens to say. The only special category column in this schema.",SPECIAL-CATEGORY,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",reviewed_by,10,character varying,32,YES,,"DPS username of the member of staff who conducted the review, or the system user for reviews created by the service itself in response to a prisoner movement. Null on some rows migrated from NOMIS, which did not always record it. Identifies a member of staff.",STAFF,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",current,11,boolean,,NO,true,"Whether this is the prisoner's current incentive level. Exactly one row per booking_id may be true, enforced by a partial unique index; all earlier reviews are false. Filter on this rather than taking the latest review_time.",NONE,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",when_created,12,timestamp with time zone,,NO,now(),"When the row was written to this service. For reviews migrated from NOMIS this is the migration run, not the review - use review_time for when the review actually happened.",NONE,N,
prisoner_iep_level,"One incentive (IEP) review of one prisoner, in an ordered history - not one row per prisoner. A prisoner accumulates a row per review over time and the one that counts today is flagged by current. Holds reviews conducted in DPS alongside the full history migrated from NOMIS, which is why reviewed_by and location_id are nullable and why review_type distinguishes MIGRATED rows. The Kotlin entity is IncentiveReview; the table keeps the legacy NOMIS name.",review_type,13,character varying,16,NO,'REVIEW'::character varying,"What caused the review: INITIAL (on first entering custody), REVIEW (a normal scheduled or ad-hoc review), TRANSFER (level carried over on moving establishment), READMISSION (returning to custody) or MIGRATED (loaded from NOMIS, where the original cause was not recorded). Only REVIEW and MIGRATED count as real reviews for reporting - see IsRealReview.",NONE,N,
